Condition,A,
Initials,JLD,
Gender,Female,
College,COLSA,
What is the effect on herring?,Increased a little,0
Why?,because of groundfish increasing,0
What is the effect on winter flounder?,Increased a little,1
Why?,Because the number of flatfish increased,0
What is the effect on yellowtail flounder?,Increased a lot,0
Why?,because the number of flatfish increased,0
What is the effect on skates?,Increased a lot,0
Why?,It hit the max on the graph,0
What is the effect on cod?,Decreased a lot,0
Why?,because something might of killed them off,0
What is the effect on haddock?,Decreased a little,2
Why?,kill in the number of them with more there,0
What is the effect on windowpane?,Increased a little,0
Why?,More were produced ,0
