Condition,D,
Initials,NO,
Gender,Male,
College,CHHS,
What is the effect on herring?,Decreased a little,3
Why?,Double the amount caught,2
What is the effect on winter flounder?,Increased a lot,3
Why?,half as many are caught,2
What is the effect on yellowtail flounder?,Increased a little,2
Why?,less caught,0
What is the effect on skates?,Decreased a lot,3
Why?,twice as many caught,2
What is the effect on cod?,Increased a lot,3
Why?,less predators,0
What is the effect on haddock?,Decreased a little,2
Why?,more competition,0
What is the effect on windowpane?,Decreased a lot,3
Why?,more competition,0
