Condition,B,
Initials,SA,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a little,3
Why?,Herring populations decreased a little because fishing efforts were increased.,1
What is the effect on winter flounder?,Increased a lot,3
Why?,Winter flounder increased a lot due to the harvest effort decreasing.,1
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"Yellowtail flounder increased a little because the harvest effort decreased, and they compete with Yellowtail flounder and Windowpane. ",1
What is the effect on skates?,Decreased a lot,3
Why?,Elasmobranchs population decreased a lot because the harvest effort for elasmobranchs increased.,1
What is the effect on cod?,Increased a lot,3
Why?,The population of Cod increased a lot because Spiny Dogfish predate on Cod.,2
What is the effect on haddock?,Decreased a little,2
Why?,Haddock populations decreased a little because Spiny Dogfish and Skates compete with each other.,0
What is the effect on windowpane?,Decreased a little,1
Why?,Windowpane populations decreased a little because Windowpanes compete with Skates.,0
